Evaluation results:
(gnn) Accuracies of the localization task: Top 1: 0.0066, Top 3: 0.0726, Top 5: 0.1353
(gnn) Accuracies of the localization task per bug type: 
LoopStatementRewriteScout: 0.0066  (2/303)
(gnn) Accuracies of the localization task per number of reference nodes: 
5: 0.0000  (0/1)
6: 0.0000  (0/1)
8: 0.0000  (0/5)
9: 0.0000  (0/4)
10: 0.2500  (1/4)
11: 0.0000  (0/3)
12: 0.0000  (0/4)
13: 0.0000  (0/1)
14: 0.0000  (0/2)
15: 0.0000  (0/1)
16: 0.0000  (0/5)
17: 0.0000  (0/4)
18: 0.0000  (0/4)
19: 0.0000  (0/3)
20: 0.0000  (0/2)
21: 0.0000  (0/3)
22: 0.0000  (0/9)
23: 0.0000  (0/5)
24: 0.0000  (0/6)
25: 0.0000  (0/1)
26: 0.0000  (0/5)
27: 0.0000  (0/7)
28: 0.0000  (0/1)
29: 0.0000  (0/1)
30: 0.0000  (0/3)
32: 0.0000  (0/2)
33: 0.0000  (0/1)
34: 0.1111  (1/9)
35: 0.0000  (0/2)
36: 0.0000  (0/5)
37: 0.0000  (0/3)
38: 0.0000  (0/6)
39: 0.0000  (0/6)
40: 0.0000  (0/10)
41: 0.0000  (0/3)
42: 0.0000  (0/2)
43: 0.0000  (0/4)
44: 0.0000  (0/5)
45: 0.0000  (0/2)
46: 0.0000  (0/1)
49: 0.0000  (0/1)
50: 0.0000  (0/2)
52: 0.0000  (0/10)
54: 0.0000  (0/4)
55: 0.0000  (0/2)
56: 0.0000  (0/2)
57: 0.0000  (0/1)
60: 0.0000  (0/1)
61: 0.0000  (0/2)
62: 0.0000  (0/1)
63: 0.0000  (0/1)
65: 0.0000  (0/1)
67: 0.0000  (0/1)
68: 0.0000  (0/5)
69: 0.0000  (0/5)
70: 0.0000  (0/1)
71: 0.0000  (0/1)
72: 0.0000  (0/6)
73: 0.0000  (0/5)
74: 0.0000  (0/3)
75: 0.0000  (0/4)
76: 0.0000  (0/1)
77: 0.0000  (0/1)
79: 0.0000  (0/2)
84: 0.0000  (0/1)
88: 0.0000  (0/1)
89: 0.0000  (0/2)
90: 0.0000  (0/1)
93: 0.0000  (0/2)
94: 0.0000  (0/2)
97: 0.0000  (0/2)
99: 0.0000  (0/2)
100: 0.0000  (0/1)
102: 0.0000  (0/4)
104: 0.0000  (0/6)
108: 0.0000  (0/2)
109: 0.0000  (0/4)
111: 0.0000  (0/2)
113: 0.0000  (0/4)
120: 0.0000  (0/1)
126: 0.0000  (0/4)
130: 0.0000  (0/1)
142: 0.0000  (0/1)
143: 0.0000  (0/4)
149: 0.0000  (0/4)
154: 0.0000  (0/1)
155: 0.0000  (0/5)
163: 0.0000  (0/5)
165: 0.0000  (0/1)
175: 0.0000  (0/1)
187: 0.0000  (0/1)
189: 0.0000  (0/1)
219: 0.0000  (0/2)
221: 0.0000  (0/4)
222: 0.0000  (0/2)
228: 0.0000  (0/2)
241: 0.0000  (0/1)
249: 0.0000  (0/1)
297: 0.0000  (0/3)
304: 0.0000  (0/4)
352: 0.0000  (0/4)
389: 0.0000  (0/1)
407: 0.0000  (0/4)
(baseline) Accuracies of the localization task: Top 1: 0.0264, Top 3: 0.0957, Top 5: 0.1419
(baseline) Accuracies of the localization task per bug type: 
LoopStatementRewriteScout: 0.0264  (8/303)
(baseline) Accuracies of the localization task per number of reference nodes: 
5: 0.0000  (0/1)
6: 0.0000  (0/1)
8: 0.2000  (1/5)
9: 0.5000  (2/4)
10: 0.0000  (0/4)
11: 0.3333  (1/3)
12: 0.0000  (0/4)
13: 0.0000  (0/1)
14: 0.0000  (0/2)
15: 0.0000  (0/1)
16: 0.2000  (1/5)
17: 0.0000  (0/4)
18: 0.0000  (0/4)
19: 0.0000  (0/3)
20: 0.0000  (0/2)
21: 0.3333  (1/3)
22: 0.0000  (0/9)
23: 0.0000  (0/5)
24: 0.1667  (1/6)
25: 0.0000  (0/1)
26: 0.0000  (0/5)
27: 0.0000  (0/7)
28: 0.0000  (0/1)
29: 0.0000  (0/1)
30: 0.0000  (0/3)
32: 0.0000  (0/2)
33: 0.0000  (0/1)
34: 0.0000  (0/9)
35: 0.0000  (0/2)
36: 0.0000  (0/5)
37: 0.0000  (0/3)
38: 0.0000  (0/6)
39: 0.0000  (0/6)
40: 0.0000  (0/10)
41: 0.0000  (0/3)
42: 0.0000  (0/2)
43: 0.0000  (0/4)
44: 0.2000  (1/5)
45: 0.0000  (0/2)
46: 0.0000  (0/1)
49: 0.0000  (0/1)
50: 0.0000  (0/2)
52: 0.0000  (0/10)
54: 0.0000  (0/4)
55: 0.0000  (0/2)
56: 0.0000  (0/2)
57: 0.0000  (0/1)
60: 0.0000  (0/1)
61: 0.0000  (0/2)
62: 0.0000  (0/1)
63: 0.0000  (0/1)
65: 0.0000  (0/1)
67: 0.0000  (0/1)
68: 0.0000  (0/5)
69: 0.0000  (0/5)
70: 0.0000  (0/1)
71: 0.0000  (0/1)
72: 0.0000  (0/6)
73: 0.0000  (0/5)
74: 0.0000  (0/3)
75: 0.0000  (0/4)
76: 0.0000  (0/1)
77: 0.0000  (0/1)
79: 0.0000  (0/2)
84: 0.0000  (0/1)
88: 0.0000  (0/1)
89: 0.0000  (0/2)
90: 0.0000  (0/1)
93: 0.0000  (0/2)
94: 0.0000  (0/2)
97: 0.0000  (0/2)
99: 0.0000  (0/2)
100: 0.0000  (0/1)
102: 0.0000  (0/4)
104: 0.0000  (0/6)
108: 0.0000  (0/2)
109: 0.0000  (0/4)
111: 0.0000  (0/2)
113: 0.0000  (0/4)
120: 0.0000  (0/1)
126: 0.0000  (0/4)
130: 0.0000  (0/1)
142: 0.0000  (0/1)
143: 0.0000  (0/4)
149: 0.0000  (0/4)
154: 0.0000  (0/1)
155: 0.0000  (0/5)
163: 0.0000  (0/5)
165: 0.0000  (0/1)
175: 0.0000  (0/1)
187: 0.0000  (0/1)
189: 0.0000  (0/1)
219: 0.0000  (0/2)
221: 0.0000  (0/4)
222: 0.0000  (0/2)
228: 0.0000  (0/2)
241: 0.0000  (0/1)
249: 0.0000  (0/1)
297: 0.0000  (0/3)
304: 0.0000  (0/4)
352: 0.0000  (0/4)
389: 0.0000  (0/1)
407: 0.0000  (0/4)
Training parameters: #Layers: 8, #Hidden channels: 128, Learning rate: 1e-05, #Training graphs: 774, #Avg. Reference nodes in evaluation graphs: 80.67326732673267, Use Scaler: False
Removed bugtypes: VariableMisuseRewriteScout, ArgSwapRewriteScout, LiteralRewriteScout
 
Evaluation results:
(gnn) Accuracies of the localization task: Top 1: 0.1324, Top 3: 0.2353, Top 5: 0.4412
(gnn) Accuracies of the localization task per bug type: 
LoopStatementRewriteScout: 0.1324  (9/68)
(gnn) Accuracies of the localization task per number of reference nodes: 
5: 0.0000  (0/1)
6: 0.0000  (0/1)
8: 0.4000  (2/5)
9: 0.2500  (1/4)
10: 0.0000  (0/4)
11: 0.3333  (1/3)
12: 0.2500  (1/4)
13: 0.0000  (0/1)
14: 0.5000  (1/2)
15: 0.0000  (0/1)
16: 0.2000  (1/5)
17: 0.0000  (0/4)
18: 0.0000  (0/4)
19: 0.3333  (1/3)
20: 0.0000  (0/2)
21: 0.0000  (0/3)
22: 0.0000  (0/9)
