Evaluation results:
(gnn) Accuracies of the localization task: Top 1: 0.2033, Top 3: 0.4499, Top 5: 0.5792
(gnn) Accuracies of the localization task per bug type: 
ArgSwapRewriteScout: 0.3239  (332/1025)
AssignRewriteScout: 0.4141  (1328/3207)
BinaryOperatorRewriteScout: 0.2337  (211/903)
BooleanOperatorRewriteScout: 0.2843  (361/1270)
ComparisonOperatorRewriteScout: 0.2578  (744/2886)
LiteralRewriteScout: 0.1418  (258/1820)
LoopStatementRewriteScout: 0.0529  (81/1530)
VariableMisuseRewriteScout: 0.0469  (223/4755)
(gnn) Accuracies of the localization task per number of reference nodes: 
1: 1.0000  (16/16)
2: 0.5839  (181/310)
3: 0.4273  (347/812)
4: 0.4193  (431/1028)
5: 0.3377  (282/835)
6: 0.3652  (401/1098)
7: 0.2276  (178/782)
8: 0.2796  (210/751)
9: 0.2525  (151/598)
10: 0.2074  (117/564)
11: 0.1807  (99/548)
12: 0.1721  (85/494)
13: 0.1590  (69/434)
14: 0.1729  (79/457)
15: 0.1871  (99/529)
16: 0.1482  (59/398)
17: 0.1311  (56/427)
18: 0.1587  (53/334)
19: 0.1263  (37/293)
20: 0.1759  (51/290)
21: 0.1388  (39/281)
22: 0.1124  (30/267)
23: 0.1875  (42/224)
24: 0.1041  (28/269)
25: 0.1250  (30/240)
26: 0.0922  (19/206)
27: 0.0792  (16/202)
28: 0.1129  (21/186)
29: 0.1440  (18/125)
30: 0.1582  (28/177)
31: 0.1139  (18/158)
32: 0.1282  (20/156)
33: 0.0730  (10/137)
34: 0.1133  (17/150)
35: 0.1093  (20/183)
36: 0.0568  (5/88)
37: 0.0385  (4/104)
38: 0.0684  (8/117)
39: 0.0957  (9/94)
40: 0.0783  (9/115)
41: 0.0412  (4/97)
42: 0.1158  (11/95)
43: 0.0857  (6/70)
44: 0.0606  (4/66)
45: 0.0297  (3/101)
46: 0.0909  (5/55)
47: 0.1023  (9/88)
48: 0.0566  (3/53)
49: 0.0400  (2/50)
50: 0.0000  (0/35)
51: 0.1077  (7/65)
52: 0.0750  (6/80)
53: 0.0784  (4/51)
54: 0.0690  (6/87)
55: 0.0238  (1/42)
56: 0.0455  (2/44)
57: 0.0800  (2/25)
58: 0.0303  (1/33)
59: 0.0357  (2/56)
60: 0.1452  (9/62)
61: 0.0851  (4/47)
62: 0.0455  (2/44)
63: 0.0698  (3/43)
64: 0.1290  (4/31)
65: 0.0816  (4/49)
66: 0.0556  (2/36)
67: 0.0938  (3/32)
68: 0.0714  (2/28)
69: 0.0000  (0/40)
70: 0.0556  (1/18)
71: 0.0000  (0/24)
72: 0.0312  (1/32)
73: 0.0000  (0/23)
74: 0.0556  (1/18)
75: 0.0417  (1/24)
76: 0.0000  (0/12)
77: 0.0667  (1/15)
78: 0.0357  (1/28)
79: 0.0357  (1/28)
80: 0.0526  (1/19)
81: 0.0000  (0/7)
82: 0.0385  (1/26)
83: 0.0000  (0/9)
84: 0.0000  (0/18)
85: 0.0000  (0/33)
86: 0.0000  (0/15)
87: 0.2000  (3/15)
88: 0.0455  (1/22)
89: 0.0000  (0/10)
90: 0.0000  (0/16)
91: 0.0000  (0/7)
92: 0.1111  (1/9)
93: 0.0435  (1/23)
94: 0.0000  (0/25)
95: 0.0400  (1/25)
96: 0.0000  (0/20)
97: 0.0000  (0/14)
98: 0.0000  (0/6)
99: 0.0000  (0/21)
100: 0.0833  (1/12)
101: 0.0000  (0/7)
102: 0.0000  (0/15)
103: 0.0000  (0/12)
104: 0.0385  (1/26)
105: 0.0000  (0/13)
106: 0.0000  (0/9)
107: 0.0909  (1/11)
108: 0.0000  (0/5)
109: 0.0000  (0/7)
110: 0.0000  (0/11)
111: 0.0000  (0/11)
112: 0.1111  (1/9)
113: 0.0000  (0/9)
114: 0.0909  (1/11)
115: 0.0000  (0/14)
116: 0.0000  (0/3)
117: 0.0000  (0/15)
118: 0.0000  (0/10)
119: 0.1250  (1/8)
120: 0.0000  (0/9)
121: 0.0000  (0/2)
122: 0.0714  (1/14)
123: 0.0000  (0/5)
124: 0.0000  (0/4)
125: 0.0000  (0/8)
126: 0.0000  (0/11)
127: 0.1053  (2/19)
128: 0.0000  (0/9)
129: 0.0000  (0/8)
130: 0.0625  (1/16)
131: 0.0556  (1/18)
132: 0.0000  (0/8)
133: 0.0000  (0/9)
134: 0.2500  (1/4)
136: 0.0000  (0/4)
138: 0.0000  (0/8)
139: 0.0000  (0/4)
140: 0.0000  (0/4)
141: 0.1250  (2/16)
142: 0.0000  (0/1)
143: 0.0500  (1/20)
144: 0.0000  (0/4)
145: 0.0000  (0/4)
146: 0.0000  (0/5)
147: 0.2500  (1/4)
148: 0.0000  (0/4)
149: 0.0000  (0/12)
152: 0.0000  (0/8)
153: 0.0000  (0/4)
154: 0.0000  (0/1)
155: 0.0000  (0/5)
156: 0.0000  (0/2)
157: 0.0000  (0/4)
160: 0.0000  (0/2)
161: 0.0000  (0/2)
162: 0.0000  (0/3)
163: 0.0000  (0/6)
165: 0.0000  (0/2)
166: 0.0000  (0/3)
168: 0.0000  (0/4)
171: 0.0000  (0/6)
172: 0.0000  (0/1)
173: 0.0000  (0/4)
174: 0.0000  (0/4)
175: 0.0000  (0/1)
177: 0.0000  (0/4)
180: 0.0000  (0/4)
181: 0.0000  (0/9)
185: 0.0000  (0/1)
186: 0.0000  (0/2)
187: 0.0000  (0/3)
189: 0.0000  (0/1)
192: 0.0000  (0/3)
193: 0.0000  (0/1)
197: 0.0000  (0/4)
198: 0.0000  (0/2)
199: 0.0000  (0/1)
201: 0.0000  (0/4)
203: 0.1667  (1/6)
204: 0.0000  (0/1)
205: 0.0000  (0/4)
206: 0.0000  (0/1)
208: 0.0000  (0/6)
211: 0.0000  (0/4)
216: 0.0000  (0/8)
219: 0.0000  (0/2)
221: 0.0000  (0/4)
222: 0.0000  (0/3)
227: 0.0000  (0/1)
228: 0.0000  (0/2)
232: 0.0000  (0/2)
237: 0.0000  (0/4)
240: 0.0000  (0/8)
241: 0.0000  (0/1)
242: 0.0000  (0/4)
244: 0.0000  (0/8)
245: 0.0000  (0/1)
248: 0.0000  (0/4)
249: 0.1111  (1/9)
252: 0.0000  (0/10)
255: 0.0000  (0/4)
259: 0.0000  (0/3)
260: 0.0000  (0/4)
261: 0.0000  (0/3)
263: 0.0000  (0/3)
264: 0.0000  (0/3)
275: 0.0000  (0/3)
287: 0.0000  (0/4)
292: 0.0000  (0/3)
297: 0.0000  (0/3)
304: 0.0000  (0/4)
307: 0.2500  (1/4)
308: 0.0000  (0/4)
352: 0.0000  (0/4)
353: 0.0000  (0/1)
357: 0.0000  (0/3)
367: 0.0000  (0/4)
368: 0.0000  (0/4)
369: 0.0000  (0/4)
381: 0.0000  (0/4)
384: 0.0000  (0/1)
386: 0.0000  (0/4)
389: 0.0000  (0/1)
390: 0.0000  (0/4)
407: 0.0000  (0/4)
437: 0.0000  (0/5)
451: 0.0000  (0/1)
504: 0.0000  (0/4)
587: 0.0000  (0/1)
618: 0.0000  (0/4)
882: 0.0000  (0/4)
1007: 0.0000  (0/4)
(baseline) Accuracies of the localization task: Top 1: 0.1077, Top 3: 0.3018, Top 5: 0.4476
(baseline) Accuracies of the localization task per bug type: 
ArgSwapRewriteScout: 0.1746  (179/1025)
AssignRewriteScout: 0.1060  (340/3207)
BinaryOperatorRewriteScout: 0.1229  (111/903)
BooleanOperatorRewriteScout: 0.0795  (101/1270)
ComparisonOperatorRewriteScout: 0.1320  (381/2886)
LiteralRewriteScout: 0.1571  (286/1820)
LoopStatementRewriteScout: 0.0307  (47/1530)
VariableMisuseRewriteScout: 0.0900  (428/4755)
(baseline) Accuracies of the localization task per number of reference nodes: 
1: 1.0000  (16/16)
2: 0.5129  (159/310)
3: 0.3337  (271/812)
4: 0.2344  (241/1028)
5: 0.2144  (179/835)
6: 0.1949  (214/1098)
7: 0.1662  (130/782)
8: 0.1185  (89/751)
9: 0.1020  (61/598)
10: 0.1223  (69/564)
11: 0.0985  (54/548)
12: 0.0668  (33/494)
13: 0.0737  (32/434)
14: 0.0875  (40/457)
15: 0.0643  (34/529)
16: 0.0578  (23/398)
17: 0.0632  (27/427)
18: 0.0749  (25/334)
19: 0.0444  (13/293)
20: 0.0345  (10/290)
21: 0.0356  (10/281)
22: 0.0562  (15/267)
23: 0.0402  (9/224)
24: 0.0483  (13/269)
25: 0.0167  (4/240)
26: 0.0340  (7/206)
27: 0.0495  (10/202)
28: 0.0376  (7/186)
29: 0.0160  (2/125)
30: 0.0395  (7/177)
31: 0.0443  (7/158)
32: 0.0128  (2/156)
33: 0.0146  (2/137)
34: 0.0533  (8/150)
35: 0.0328  (6/183)
36: 0.0227  (2/88)
37: 0.0481  (5/104)
38: 0.0256  (3/117)
39: 0.0213  (2/94)
40: 0.0261  (3/115)
41: 0.0206  (2/97)
42: 0.0000  (0/95)
43: 0.0000  (0/70)
44: 0.0000  (0/66)
45: 0.0297  (3/101)
46: 0.0000  (0/55)
47: 0.0114  (1/88)
48: 0.0189  (1/53)
49: 0.0000  (0/50)
50: 0.0571  (2/35)
51: 0.0154  (1/65)
52: 0.0000  (0/80)
53: 0.0196  (1/51)
54: 0.0000  (0/87)
55: 0.0476  (2/42)
56: 0.0000  (0/44)
57: 0.0000  (0/25)
58: 0.0000  (0/33)
59: 0.0357  (2/56)
60: 0.0000  (0/62)
61: 0.0213  (1/47)
62: 0.0227  (1/44)
63: 0.0000  (0/43)
64: 0.0323  (1/31)
65: 0.0204  (1/49)
66: 0.0000  (0/36)
67: 0.0000  (0/32)
68: 0.0000  (0/28)
69: 0.0000  (0/40)
70: 0.0556  (1/18)
71: 0.0000  (0/24)
72: 0.0000  (0/32)
73: 0.0000  (0/23)
74: 0.0000  (0/18)
75: 0.0000  (0/24)
76: 0.0000  (0/12)
77: 0.0667  (1/15)
78: 0.0000  (0/28)
79: 0.0000  (0/28)
80: 0.0526  (1/19)
81: 0.0000  (0/7)
82: 0.0385  (1/26)
83: 0.0000  (0/9)
84: 0.0000  (0/18)
85: 0.0303  (1/33)
86: 0.0667  (1/15)
87: 0.0000  (0/15)
88: 0.0000  (0/22)
89: 0.0000  (0/10)
90: 0.0000  (0/16)
91: 0.0000  (0/7)
92: 0.0000  (0/9)
93: 0.0000  (0/23)
94: 0.0000  (0/25)
95: 0.0400  (1/25)
96: 0.0000  (0/20)
97: 0.0000  (0/14)
98: 0.0000  (0/6)
99: 0.0000  (0/21)
100: 0.0000  (0/12)
101: 0.0000  (0/7)
102: 0.0000  (0/15)
103: 0.0000  (0/12)
104: 0.0000  (0/26)
105: 0.0000  (0/13)
106: 0.0000  (0/9)
107: 0.0000  (0/11)
108: 0.0000  (0/5)
109: 0.0000  (0/7)
110: 0.0000  (0/11)
111: 0.0000  (0/11)
112: 0.0000  (0/9)
113: 0.0000  (0/9)
114: 0.0000  (0/11)
115: 0.0714  (1/14)
116: 0.0000  (0/3)
117: 0.0000  (0/15)
118: 0.0000  (0/10)
119: 0.0000  (0/8)
120: 0.0000  (0/9)
121: 0.0000  (0/2)
122: 0.0000  (0/14)
123: 0.0000  (0/5)
124: 0.0000  (0/4)
125: 0.0000  (0/8)
126: 0.0000  (0/11)
127: 0.0000  (0/19)
128: 0.0000  (0/9)
129: 0.0000  (0/8)
130: 0.0000  (0/16)
131: 0.0000  (0/18)
132: 0.0000  (0/8)
133: 0.0000  (0/9)
134: 0.0000  (0/4)
136: 0.0000  (0/4)
138: 0.0000  (0/8)
139: 0.0000  (0/4)
140: 0.0000  (0/4)
141: 0.0625  (1/16)
142: 0.0000  (0/1)
143: 0.0000  (0/20)
144: 0.0000  (0/4)
145: 0.0000  (0/4)
146: 0.0000  (0/5)
147: 0.0000  (0/4)
148: 0.0000  (0/4)
149: 0.0000  (0/12)
152: 0.0000  (0/8)
153: 0.0000  (0/4)
154: 0.0000  (0/1)
155: 0.0000  (0/5)
156: 0.0000  (0/2)
157: 0.0000  (0/4)
160: 0.0000  (0/2)
161: 0.0000  (0/2)
162: 0.0000  (0/3)
163: 0.0000  (0/6)
165: 0.0000  (0/2)
166: 0.0000  (0/3)
168: 0.2500  (1/4)
171: 0.0000  (0/6)
172: 0.0000  (0/1)
173: 0.0000  (0/4)
174: 0.0000  (0/4)
175: 0.0000  (0/1)
177: 0.0000  (0/4)
180: 0.0000  (0/4)
181: 0.0000  (0/9)
185: 0.0000  (0/1)
186: 0.0000  (0/2)
187: 0.0000  (0/3)
189: 0.0000  (0/1)
192: 0.0000  (0/3)
193: 0.0000  (0/1)
197: 0.0000  (0/4)
198: 0.0000  (0/2)
199: 0.0000  (0/1)
201: 0.0000  (0/4)
203: 0.0000  (0/6)
204: 0.0000  (0/1)
205: 0.0000  (0/4)
206: 0.0000  (0/1)
208: 0.0000  (0/6)
211: 0.0000  (0/4)
216: 0.0000  (0/8)
219: 0.0000  (0/2)
221: 0.0000  (0/4)
222: 0.0000  (0/3)
227: 0.0000  (0/1)
228: 0.0000  (0/2)
232: 0.0000  (0/2)
237: 0.0000  (0/4)
240: 0.0000  (0/8)
241: 0.0000  (0/1)
242: 0.0000  (0/4)
244: 0.0000  (0/8)
245: 0.0000  (0/1)
248: 0.0000  (0/4)
249: 0.0000  (0/9)
252: 0.0000  (0/10)
255: 0.0000  (0/4)
259: 0.0000  (0/3)
260: 0.0000  (0/4)
261: 0.0000  (0/3)
263: 0.0000  (0/3)
264: 0.0000  (0/3)
275: 0.0000  (0/3)
287: 0.0000  (0/4)
292: 0.0000  (0/3)
297: 0.0000  (0/3)
304: 0.0000  (0/4)
307: 0.0000  (0/4)
308: 0.0000  (0/4)
352: 0.0000  (0/4)
353: 0.0000  (0/1)
357: 0.0000  (0/3)
367: 0.0000  (0/4)
368: 0.0000  (0/4)
369: 0.0000  (0/4)
381: 0.0000  (0/4)
384: 0.0000  (0/1)
386: 0.0000  (0/4)
389: 0.0000  (0/1)
390: 0.0000  (0/4)
407: 0.0000  (0/4)
437: 0.0000  (0/5)
451: 0.0000  (0/1)
504: 0.0000  (0/4)
587: 0.0000  (0/1)
618: 0.0000  (0/4)
882: 0.0000  (0/4)
1007: 0.0000  (0/4)
Training parameters: #Layers: 8, #Hidden channels: 128, Learning rate: 1e-05, #Training graphs: 53475, #Avg. Reference nodes in evaluation graphs: 27.061795815129916, Use Scaler: True
Removed bugtypes: -
