Evaluation results:
(gnn) Accuracies of the localization task: Top 1: 0.1709, Top 3: 0.4132, Top 5: 0.5517
(gnn) Accuracies of the localization task per bug type: 
AssignRewriteScout: 0.1893  (607/3207)
BinaryOperatorRewriteScout: 0.1860  (168/903)
BooleanOperatorRewriteScout: 0.1583  (201/1270)
ComparisonOperatorRewriteScout: 0.2384  (688/2886)
LoopStatementRewriteScout: 0.0072  (11/1530)
(gnn) Accuracies of the localization task per number of reference nodes: 
2: 0.4863  (89/183)
3: 0.5497  (210/382)
4: 0.3246  (161/496)
5: 0.2853  (111/389)
6: 0.2869  (169/589)
7: 0.2910  (117/402)
8: 0.2680  (123/459)
9: 0.2373  (70/295)
10: 0.1893  (64/338)
11: 0.1883  (61/324)
12: 0.1548  (39/252)
13: 0.1853  (48/259)
14: 0.1189  (34/286)
15: 0.2038  (53/260)
16: 0.1688  (40/237)
17: 0.1197  (28/234)
18: 0.1429  (27/189)
19: 0.1186  (21/177)
20: 0.1325  (22/166)
21: 0.0654  (10/153)
22: 0.1293  (19/147)
23: 0.1223  (17/139)
24: 0.0898  (15/167)
25: 0.0904  (15/166)
26: 0.0796  (9/113)
27: 0.0800  (10/125)
28: 0.0777  (8/103)
29: 0.0556  (4/72)
30: 0.1233  (9/73)
31: 0.0667  (6/90)
32: 0.0729  (7/96)
33: 0.0366  (3/82)
34: 0.0495  (5/101)
35: 0.0825  (8/97)
36: 0.0000  (0/56)
37: 0.0185  (1/54)
38: 0.0366  (3/82)
39: 0.0667  (4/60)
40: 0.0130  (1/77)
41: 0.0000  (0/50)
42: 0.1163  (5/43)
43: 0.0208  (1/48)
44: 0.0196  (1/51)
45: 0.0597  (4/67)
46: 0.0000  (0/37)
47: 0.1053  (6/57)
48: 0.0333  (1/30)
49: 0.0000  (0/30)
50: 0.0000  (0/27)
51: 0.0000  (0/38)
52: 0.0213  (1/47)
53: 0.0645  (2/31)
54: 0.0000  (0/43)
55: 0.0000  (0/35)
56: 0.0000  (0/30)
57: 0.0000  (0/15)
58: 0.0526  (1/19)
59: 0.0323  (1/31)
60: 0.0000  (0/50)
