Evaluation results:
(gnn) Accuracies of the localization task: Top 1: 0.2817, Top 3: 0.5248, Top 5: 0.6510
(gnn) Accuracies of the localization task per bug type: 
LoopStatementRewriteScout: 0.2817  (431/1530)
(gnn) Accuracies of the localization task per number of reference nodes: 
3: 1.0000  (1/1)
4: 0.5000  (1/2)
5: 1.0000  (5/5)
6: 0.7778  (7/9)
7: 0.8750  (7/8)
8: 0.3333  (4/12)
9: 0.6154  (8/13)
10: 0.9286  (13/14)
11: 0.6296  (17/27)
12: 0.4615  (12/26)
13: 0.3125  (5/16)
14: 0.3571  (5/14)
15: 0.6154  (8/13)
16: 0.4583  (11/24)
17: 0.4444  (12/27)
18: 0.5862  (17/29)
19: 0.5455  (12/22)
20: 0.3500  (7/20)
21: 0.5600  (14/25)
22: 0.3438  (11/32)
23: 0.5000  (10/20)
24: 0.4231  (11/26)
25: 0.2174  (5/23)
26: 0.3462  (9/26)
27: 0.1250  (3/24)
28: 0.1250  (2/16)
29: 0.3182  (7/22)
30: 0.5000  (5/10)
31: 0.3000  (6/20)
32: 0.2222  (4/18)
33: 0.2941  (5/17)
34: 0.3077  (8/26)
35: 0.5556  (10/18)
36: 0.3889  (7/18)
37: 0.4667  (7/15)
38: 0.5833  (7/12)
39: 0.1875  (3/16)
40: 0.2857  (8/28)
41: 0.0909  (1/11)
42: 0.1667  (1/6)
43: 0.3571  (5/14)
44: 0.0000  (0/14)
45: 0.0909  (2/22)
46: 0.5000  (5/10)
47: 0.2143  (3/14)
48: 0.3750  (3/8)
49: 0.1429  (2/14)
50: 0.2143  (3/14)
51: 0.0000  (0/3)
52: 0.0952  (2/21)
53: 0.0909  (1/11)
54: 0.2381  (5/21)
55: 0.2500  (3/12)
56: 0.2000  (2/10)
57: 0.3750  (3/8)
58: 0.1429  (1/7)
59: 0.4545  (5/11)
60: 0.2143  (3/14)
61: 0.0000  (0/4)
62: 0.2381  (5/21)
63: 0.1667  (1/6)
64: 0.0000  (0/5)
65: 0.5000  (4/8)
